Resource_Name,Category,Sub_Category,Location_Scope,Description,Relevance,Link,Access type
TOPLAP,Global Community,International Networks,Worldwide,International live coding community,High | Core community for live coding practice and theory - Essential global hub,http://toplap.org,Free/Open Source
ICLC,Global Community,Conferences/Events,International,International Conference on Live Coding,High | Core academic and artistic discourse,https://iclc.toplap.org/2025/,Conference fees
Algorave,Global Community,Performance Networks,Worldwide,Global network of algorithmic dance music events,High | Core for performance context and culture,http://algorave.com,Free/Community
Demoscene,Cultural Heritage,Digital Performance Lineage,Worldwide,Computer art subculture,Useful historical context for creative coding performance,https://youtu.be/J2Jz1bu2CcA?si=wxwzB980x9yenVX3,Free/Community
LiveCodeNYC,Global Community,Upstream Organizations,NYC,Event organizing and community,Useful direct model for structure and programming - Helpful example,https://livecode.nyc/,Free/Community
Dweller,Representation & Equity,Black Electronic Music,National/Online,Platform centering Black perspectives in electronic music,Key for representation; showcases Black live coders - Important resource,https://dwellerforever.blog,Free/Community
Nam June Paik’s Electronic Superhighway,Cultural Heritage,DMV Heritage,Washington DC,Smithsonian installation merging tech + culture,Important DMV cultural touchstone for tech and culture - Useful context,https://americanart.si.edu/artwork/electronic-superhighway-continental-us-alaska-hawaii-71478,Free/Museum
School for Poetic Computation / SFPC,Education/Pedagogy,Artist-Run Schools,NYC,School for Poetic Computation,High | Core live coding curriculum; essential critical discourse,https://sfpc.study,Tuition/Programs
NEW INC,Education/Pedagogy,Institutional Incubators,NYC,New Museum’s incubator,Useful structured support model for artists,http://newinc.org,Membership/Application
Mutek,Education/Pedagogy,International Festivals,Montreal/Global,Electronic music festival with TouchDesigner workshops,Key TouchDesigner workshops; useful for visual coding,http://mutek.org,Festival/Workshops
Gray Area,Arts Organizations,Creative Tech Institutions,San Francisco,Art + tech center with residencies,Useful institutional programming model,http://grayarea.org,Programs/Classes
Rhizome,Arts Organizations,Digital Art Institutions,NYC,Digital art platform and institution,Useful context for digital and net art,http://rhizome.org/,Programs/Online
Rhizome DC,Arts Organizations,Local Institutional,Washington DC,Local digital art org,Key local digital art org for DMV support - Important,https://www.rhizomedc.org/,[varies]
Seeda School,Education/Pedagogy,Decolonial Pedagogy,DMV-founded,Black feminist worldbuilding school,"Essential local, decolonial creative tech education in DMV - Key",https://www.seedaschool.com/,Programs/Workshops
